cp,msc,std,var,n_max,lambda_max,fl,gamma,alpha,beta
1,19,748.5491651,560325.8526,14.552999196963807,68.5034897698541,0.131606732656887,49.01101362213325,0.6719133940897983,0.00154911439633017
1,20,740.1587153,547834.9238,13.443521241782996,76.329792228438,0.149985901305557,51.81603902963436,0.6251519830782011,0.00207409737644205
1,21,749.0345649,561052.7795,11.931319527471716,75.74875464333634,0.145337555217265,51.80036387501121,0.623354646948566,0.002645791766120468
1,22,737.4571716,543843.0799,13.597257266416968,73.89867057831673,0.146274657671702,50.26367478472724,0.6273771051105,0.0020154262287422463
1,23,741.6310761,550016.6531,22.264360282846514,70.32291371367761,0.137634430199084,47.2345824959756,0.6400754372042069,0.0007260909829848738
1,24,748.1800799,559773.432,13.798036934486364,75.19895234987536,0.144612415265393,50.15235438820082,0.6128450267545095,0.002033528372258901
1,25,744.3022207,553985.7957,12.769933611756864,76.3167953280962,0.148295361620778,51.298706431463096,0.6141102361892953,0.002366388137717798
1,26,733.8887627,538592.7159,15.503123318607985,75.34810654534884,0.150597561303723,50.38432163376807,0.6214237085483383,0.0015751249446726023
1,27,723.4055865,523315.6426,16.395645028234064,76.09950245196974,0.156539582892387,50.96608403716538,0.6254317345196745,0.0013933940948438958
1,28,741.34895,549598.2657,16.532875366911053,68.89842616768726,0.134949108376122,46.18715367077466,0.6265562158532749,0.0013662445781242214
1,29,732.1537878,536049.169,14.449329941965223,75.10250278859755,0.150818929734835,51.0070352070655,0.6296817900274908,0.0017736979023886081
1,30,742.6572959,551539.8592,22.589659431155287,68.96647029634207,0.134606851788506,47.33778571646563,0.656663566462963,0.0006728225284141731
2,1,608.2741303,369997.4175,12.997069759219965,102.11346298026953,0.297091607361939,52.47940127118071,0.42952404613612777,0.0033771196152714887
2,2,584.9316617,342145.0489,15.145748880491487,101.79924799082515,0.320287789061049,52.12993474600296,0.44066344789869905,0.0024383255938955823
2,3,582.3281365,339106.0586,16.522286990091125,101.26199707181385,0.321452650211574,54.35337227714351,0.4751501005921331,0.001922625929968141
2,4,579.6754186,336023.5909,13.046224787386034,102.35142925812728,0.327891542350084,53.47633076109135,0.43990522362423595,0.0032907266470325837
2,5,578.9613236,335196.2143,13.61890964051782,102.01196603366749,0.327610704835665,52.70528855964004,0.4370165387947681,0.0030353652644951458
2,6,583.6310257,340625.1742,16.622711106524672,101.90253066387065,0.322043323036953,53.5574205060345,0.4628958659334433,0.0019438143361383087
2,7,592.3753027,350908.4993,16.311219057521427,100.93007937534806,0.309622703945107,53.0079859345964,0.4611492800942766,0.002025329212594342
2,8,604.7326309,365701.5548,16.00616578999458,100.78117234982068,0.296659780338958,53.71518827798484,0.4686717849442964,0.0020739021264564186
2,9,620.3255116,384803.7404,12.490519825744789,100.49174759950868,0.281123522273456,54.20122838189182,0.4556937433017483,0.003488850021095263
2,10,594.22116,353098.787,12.189674753521425,102.75780711741979,0.313274231755045,50.68113071764395,0.3985801738105198,0.004047561954458101
2,11,581.8630953,338564.6616,16.909816561960298,102.18281135924579,0.324894450372491,53.521857836135226,0.46203971418474526,0.001881362238417283
2,12,600.8698245,361044.546,15.093627557862776,101.6441389508421,0.303059305679724,53.4451279892168,0.45612704523997766,0.0023873176252241866
2,13,640.9985053,410879.0839,11.831752368086851,100.18185538401886,0.262470868577637,53.061592548297554,0.438797843483532,0.004008862753701168
2,14,603.6717239,364419.5502,14.337000517724475,100.06835991894884,0.295597792007616,48.96216945409205,0.4098301851992185,0.002871179808591335
2,15,602.2835109,362745.4276,12.84367175581223,101.9031138230514,0.302406818728312,51.15296142212123,0.4143265099720841,0.003550399068010033
2,16,584.4403601,341570.5345,12.239997974190903,102.67009487315158,0.323571033119325,53.35321470736226,0.430384422640768,0.0038020617464859107
2,17,611.2934405,373679.6704,11.934910020145237,100.36944152610545,0.289139954270269,52.443008938665976,0.4311713443645887,0.003993403261599486
